[2, '11:58', '66.20', '45.00']
[3, '11:59', '66.20', '45.00']
[2, '12:00', '66.20', '44.00']
[3, '12:01', '66.20', '44.00']
[4, '12:02', '66.20', '44.00']
[5, '12:03', '66.20', '44.00']
[6, '12:04', '66.20', '43.00']
[7, '12:05', '66.20', '45.00']
[8, '12:06', '64.40', '47.00']
[9, '12:07', '64.40', '47.00']
[2, '16:38', '68.00', '58.00']
[3, '16:39', '68.00', '56.00']
[4, '16:40', '68.00', '54.00']
[5, '16:41', '69.80', '53.00']
[6, '16:42', '69.80', '52.00']
[7, '16:43', '69.80', '51.00']
[8, '16:44', '69.80', '50.00']
[9, '16:45', '69.80', '50.00']
[10, '16:46', '69.80', '50.00']
[11, '16:47', '69.80', '51.00']
[12, '16:48', '69.80', '51.00']
[13, '16:49', '69.80', '50.00']
[14, '16:50', '69.80', '50.00']
[15, '16:51', '68.00', '51.00']
[16, '16:52', '68.00', '51.00']
[17, '16:53', '68.00', '52.00']
[18, '16:54', '68.00', '52.00']
[19, '16:55', '68.00', '51.00']
[20, '16:56', '68.00', '51.00']
[21, '16:57', '68.00', '51.00']
[22, '16:58', '68.00', '51.00']
[23, '16:59', '68.00', '50.00']
[24, '17:00', '69.80', '49.00']
[25, '17:01', '69.80', '48.00']
[26, '17:02', '69.80', '48.00']
[27, '17:03', '69.80', '48.00']
[28, '17:04', '69.80', '48.00']
[29, '17:05', '69.80', '48.00']
[30, '17:06', '69.80', '49.00']
[31, '17:07', '69.80', '49.00']
[32, '17:08', '68.00', '50.00']
[33, '17:09', '69.80', '50.00']
[34, '17:10', '71.60', '48.00']
[35, '17:11', '73.40', '43.00']
[36, '17:12', '73.40', '40.00']
[37, '17:13', '73.40', '41.00']
[38, '17:14', '73.40', '43.00']
[39, '17:15', '73.40', '42.00']
[40, '17:16', '75.20', '40.00']
[41, '17:17', '75.20', '38.00']
[42, '17:18', '75.20', '36.00']
[43, '17:19', '73.40', '40.00']
[44, '17:20', '73.40', '43.00']
[45, '17:21', '75.20', '39.00']
[46, '17:22', '75.20', '36.00']
[47, '17:23', '75.20', '36.00']
[48, '17:24', '77.00', '32.00']
[49, '17:25', '77.00', '21.00']
[50, '17:26', '78.80', '21.00']
[51, '17:27', '78.80', '21.00']
[52, '17:28', '78.80', '21.00']
[53, '17:29', '78.80', '21.00']
[54, '17:30', '78.80', '21.00']
[55, '17:31', '78.80', '21.00']
[56, '17:32', '78.80', '21.00']
[57, '17:33', '78.80', '21.00']
[58, '17:34', '78.80', '21.00']
[59, '17:35', '80.60', '20.00']
[60, '17:36', '80.60', '20.00']
[61, '17:37', '78.80', '21.00']
[62, '17:38', '80.60', '20.00']
[63, '17:39', '80.60', '20.00']
